DAY,Price,Cash,Shares,PortfolioValue,Action
0,8912.77,29913.53,1,38826.30,BUY
1,9059.38,20854.15,2,38972.91,BUY
2,9231.14,20854.15,2,39316.43,HOLD
3,9334.13,11520.02,3,39522.41,BUY
4,9185.18,11520.02,3,39075.56,HOLD
5,9505.68,21025.70,2,40037.06,SELL
6,9650.02,21025.70,2,40325.74,HOLD
7,9542.33,30568.03,1,40110.36,SELL
8,8264.16,30568.03,1,38832.19,HOLD
9,8375.13,38943.16,0,38943.16,SELL
10,7219.09,38943.16,0,38943.16,HOLD
11,6854.67,32088.49,1,38943.16,BUY
12,7491.14,32088.49,1,39579.63,HOLD
13,7288.11,32088.49,1,39376.60,HOLD
14,8035.95,24052.54,2,40124.44,BUY
15,8553.38,24052.54,2,41159.30,HOLD
16,8697.37,15355.17,3,41447.28,BUY
17,8537.83,6817.34,4,40968.66,BUY
18,9053.17,6817.34,4,43030.02,HOLD
19,9154.35,6817.34,4,43434.74,HOLD
20,9333.16,6817.34,4,44149.98,HOLD
21,9472.08,6817.34,4,44705.66,HOLD
22,9863.27,16680.61,3,46270.42,SELL
23,9748.38,16680.61,3,45925.75,HOLD
24,10112.44,6568.17,4,47017.93,BUY
25,9863.67,6568.17,4,46022.85,HOLD
26,10350.96,6568.17,4,47972.01,HOLD
27,10420.54,6568.17,4,48250.33,HOLD
28,10627.45,17195.62,3,49077.97,SELL
29,10464.00,17195.62,3,48587.62,HOLD
30,10943.72,28139.34,2,50026.78,SELL
31,10877.16,17262.18,3,49893.66,BUY
32,11132.10,6130.08,4,50658.48,BUY
33,11507.46,6130.08,4,52159.92,HOLD
34,11836.18,17966.26,3,53474.80,SELL
35,10875.02,7091.24,4,50591.32,BUY
36,10783.81,17875.05,3,50226.48,SELL
37,10520.22,17875.05,3,49435.71,HOLD
38,11240.53,6634.52,4,51596.64,BUY
39,11384.33,6634.52,4,52171.84,HOLD
40,11559.10,18193.62,3,52870.92,SELL
41,11369.29,6824.33,4,52301.49,BUY
42,11030.19,6824.33,4,50945.09,HOLD
43,11784.15,6824.33,4,53960.93,HOLD
44,11666.37,6824.33,4,53489.81,HOLD
45,11760.98,6824.33,4,53868.25,HOLD
46,12154.57,6824.33,4,55442.61,HOLD
47,12376.44,6824.33,4,56330.09,HOLD
48,12246.77,6824.33,4,55811.41,HOLD
49,12654.60,6824.33,4,57442.73,HOLD
50,12827.44,6824.33,4,58134.09,HOLD
51,12665.65,6824.33,4,57486.93,HOLD
52,12963.92,6824.33,4,58680.01,HOLD
53,13329.77,6824.33,4,60143.41,HOLD
54,13192.91,20017.24,3,59595.97,SELL
55,13585.34,33602.58,2,60773.26,SELL
56,13845.47,47448.05,1,61293.52,SELL
57,13714.35,47448.05,1,61162.40,HOLD
58,13066.38,34381.67,2,60514.43,BUY
59,12553.96,21827.71,3,59489.59,BUY
60,13246.33,35074.04,2,61566.70,SELL
61,13101.92,21972.12,3,61277.88,BUY
62,12786.81,34758.93,2,60332.55,SELL
63,13404.18,48163.11,1,61567.29,SELL
64,13748.35,61911.46,0,61911.46,SELL
65,13977.05,47934.41,1,61911.46,BUY
66,13856.83,34077.58,2,61791.24,BUY
67,13941.63,48019.21,1,61960.84,SELL
68,13690.75,48019.21,1,61709.96,HOLD
69,13242.97,34776.24,2,61262.18,BUY
70,13463.26,21312.98,3,61702.76,BUY
71,13747.61,35060.59,2,62555.81,SELL
72,13784.89,48845.48,1,62630.37,SELL
73,14056.67,48845.48,1,62902.15,HOLD
74,13960.04,48845.48,1,62805.52,HOLD
75,14417.20,63262.68,0,63262.68,SELL
76,14529.80,63262.68,0,63262.68,HOLD
77,14660.19,48602.49,1,63262.68,BUY
78,14271.23,62873.72,0,62873.72,SELL
79,14503.76,48369.96,1,62873.72,BUY
80,14584.09,33785.87,2,62954.05,BUY
81,14754.48,19031.39,3,63294.83,BUY
82,14550.88,33582.27,2,62684.03,SELL
83,14965.54,18616.73,3,63513.35,BUY
84,15202.67,33819.40,2,64224.74,SELL
85,15206.61,18612.79,3,64232.62,BUY
86,14984.68,3628.11,4,63566.83,BUY
87,14767.01,3628.11,4,62696.15,HOLD
88,14493.67,3628.11,4,61602.79,HOLD
89,14259.07,3628.11,4,60664.39,HOLD
90,14471.88,3628.11,4,61515.63,HOLD
91,15071.15,3628.11,4,63912.71,HOLD
92,15235.84,3628.11,4,64571.47,HOLD
93,15616.44,3628.11,4,66093.87,HOLD
94,15543.68,3628.11,4,65802.83,HOLD
95,15909.39,3628.11,4,67265.67,HOLD
96,15591.36,3628.11,4,65993.55,HOLD
97,15150.12,3628.11,4,64228.59,HOLD
98,15511.12,3628.11,4,65672.59,HOLD
99,15119.49,3628.11,4,64106.07,HOLD
100,15528.91,3628.11,4,65743.75,HOLD
101,15643.93,3628.11,4,66203.83,HOLD
102,14877.63,18505.74,3,63138.63,SELL
103,14689.43,33195.17,2,62574.03,SELL
104,13094.65,46289.82,1,59384.47,SELL
105,13767.71,60057.53,0,60057.53,SELL
106,13974.10,46083.43,1,60057.53,BUY
107,13664.76,59748.19,0,59748.19,SELL
108,13249.65,59748.19,0,59748.19,HOLD
109,13441.32,46306.87,1,59748.19,BUY
110,12670.08,33636.79,2,58976.95,BUY
111,12616.59,46253.38,1,58869.97,SELL
112,13857.29,60110.67,0,60110.67,SELL
113,14419.40,60110.67,0,60110.67,HOLD
114,14169.12,45941.55,1,60110.67,BUY
115,13317.74,45941.55,1,59259.29,HOLD
116,13426.12,45941.55,1,59367.67,HOLD
117,12430.90,58372.45,0,58372.45,SELL
118,12367.02,46005.43,1,58372.45,BUY
119,11339.18,57344.61,0,57344.61,SELL
120,11381.69,57344.61,0,57344.61,HOLD
121,11211.85,46132.76,1,57344.61,BUY
122,11901.45,34231.31,2,58034.21,BUY
123,11751.98,45983.29,1,57735.27,SELL
124,10565.14,56548.43,0,56548.43,SELL
125,11337.78,56548.43,0,56548.43,HOLD
126,10922.71,56548.43,0,56548.43,HOLD
127,11348.06,45200.37,1,56548.43,BUY
128,11322.84,56523.21,0,56523.21,SELL
129,11707.53,44815.68,1,56523.21,BUY
130,12271.98,32543.70,2,57087.66,BUY
131,12597.75,32543.70,2,57739.20,HOLD
132,12993.78,32543.70,2,58531.26,HOLD
133,12353.73,20189.97,3,57251.16,BUY
134,11981.42,32171.39,2,56134.23,SELL
135,11471.50,20699.89,3,55114.39,BUY
136,11604.43,20699.89,3,55513.18,HOLD
137,11343.72,32043.61,2,54731.05,SELL
138,10741.02,32043.61,2,53525.65,HOLD
139,11044.04,43087.65,1,54131.69,SELL
140,10351.98,32735.67,2,53439.63,BUY
141,10670.12,43405.79,1,54075.91,SELL
142,10996.97,54402.76,0,54402.76,SELL
143,10881.19,43521.57,1,54402.76,BUY
144,10472.73,43521.57,1,53994.30,HOLD
145,11241.15,32280.42,2,54762.72,BUY
146,10975.66,32280.42,2,54231.74,HOLD
147,10966.53,21313.89,3,54213.48,BUY
148,10910.62,10403.27,4,54045.75,BUY
149,11065.24,10403.27,4,54664.23,HOLD
150,10569.20,10403.27,4,52680.07,HOLD
151,10301.06,102.21,5,51607.51,BUY
152,10265.04,102.21,5,51427.41,HOLD
153,10900.16,102.21,5,54603.01,HOLD
154,11144.03,11246.24,4,55822.36,SELL
155,11388.54,11246.24,4,56800.40,HOLD
156,11843.49,11246.24,4,58620.20,HOLD
157,11719.73,11246.24,4,58125.16,HOLD
158,11491.18,11246.24,4,57210.96,HOLD
159,11435.39,11246.24,4,56987.80,HOLD
160,11512.03,11246.24,4,57294.36,HOLD
161,11284.93,22531.17,3,56385.96,SELL
162,11724.91,34256.08,2,57705.90,SELL
163,11635.03,34256.08,2,57526.14,HOLD
164,12081.81,22174.27,3,58419.70,BUY
165,11916.54,34090.81,2,57923.89,SELL
166,12060.17,34090.81,2,58211.15,HOLD
167,11833.07,45923.88,1,57756.95,SELL
168,12022.46,57946.34,0,57946.34,SELL
169,12180.86,45765.48,1,57946.34,BUY
170,12335.02,58100.50,0,58100.50,SELL
171,12415.85,45684.65,1,58100.50,BUY
172,12903.63,45684.65,1,58588.28,HOLD
173,13101.18,58785.83,0,58785.83,SELL
174,13561.37,45224.46,1,58785.83,BUY
175,13442.65,58667.11,0,58667.11,SELL
176,13716.16,58667.11,0,58667.11,HOLD
