DAY,Price,Cash,Shares,PortfolioValue,Action
0,2183.90,7466.30,1,9650.20,BUY
1,2149.95,5316.35,2,9616.25,BUY
2,2204.49,7520.84,1,9725.33,SELL
3,2258.09,5262.75,2,9778.93,BUY
4,2172.33,3090.42,3,9607.41,BUY
5,2154.88,935.54,4,9555.06,BUY
6,2214.77,935.54,4,9794.62,HOLD
7,2191.20,935.54,4,9700.34,HOLD
8,2059.13,935.54,4,9172.06,HOLD
9,2005.81,935.54,4,8958.78,HOLD
10,1898.27,935.54,4,8528.62,HOLD
11,1591.12,935.54,4,7300.02,HOLD
12,1645.28,935.54,4,7516.66,HOLD
13,1685.37,2620.91,3,7677.02,SELL
14,1801.80,2620.91,3,8026.31,HOLD
15,1828.13,792.78,4,8105.30,BUY
16,1895.98,792.78,4,8376.70,HOLD
17,1894.29,792.78,4,8369.94,HOLD
18,1905.17,792.78,4,8413.46,HOLD
19,1968.59,2761.37,3,8667.14,SELL
20,1997.94,763.43,4,8755.19,BUY
21,2059.14,2822.57,3,8999.99,SELL
22,2166.01,2822.57,3,9320.60,HOLD
23,2079.02,2822.57,3,9059.63,HOLD
24,2110.51,4933.08,2,9154.10,SELL
25,2108.26,4933.08,2,9149.60,HOLD
26,2164.03,7097.11,1,9261.14,SELL
27,2165.60,4931.51,2,9262.71,BUY
28,2214.28,7145.79,1,9360.07,SELL
29,2237.21,9383.00,0,9383.00,SELL
30,2269.69,9383.00,0,9383.00,HOLD
31,2396.11,9383.00,0,9383.00,HOLD
32,2353.17,9383.00,0,9383.00,HOLD
33,2336.98,9383.00,0,9383.00,HOLD
34,2341.29,9383.00,0,9383.00,HOLD
35,2369.12,9383.00,0,9383.00,HOLD
36,2429.94,9383.00,0,9383.00,HOLD
37,2287.44,9383.00,0,9383.00,HOLD
38,2327.83,9383.00,0,9383.00,HOLD
39,2385.87,6997.13,1,9383.00,BUY
40,2322.06,6997.13,1,9319.19,HOLD
41,2321.23,4675.90,2,9318.36,BUY
42,2315.30,6991.20,1,9306.50,SELL
43,2435.59,9426.79,0,9426.79,SELL
44,2533.34,6893.45,1,9426.79,BUY
45,2605.03,6893.45,1,9498.48,HOLD
46,2611.67,9505.12,0,9505.12,SELL
47,2700.92,9505.12,0,9505.12,HOLD
48,2735.08,9505.12,0,9505.12,HOLD
49,2733.64,9505.12,0,9505.12,HOLD
50,2809.35,6695.77,1,9505.12,BUY
51,3040.11,6695.77,1,9735.88,HOLD
52,3085.90,9781.67,0,9781.67,SELL
53,3140.60,9781.67,0,9781.67,HOLD
