DAY,Price,Cash,Shares,PortfolioValue,Action
0,2171.84,9535.00,0,9535.00,HOLD
1,2172.16,9535.00,0,9535.00,HOLD
2,2225.41,7309.59,1,9535.00,BUY
3,2241.94,5067.65,2,9551.53,BUY
4,2082.74,5067.65,2,9233.13,HOLD
5,2180.51,2887.14,3,9428.67,BUY
6,2230.26,5117.40,2,9577.92,SELL
7,2079.03,5117.40,2,9275.46,HOLD
8,1969.34,7086.74,1,9056.08,SELL
9,1946.90,5139.84,2,9033.64,BUY
10,1714.38,5139.84,2,8568.60,HOLD
11,1458.41,3681.43,3,8056.66,BUY
12,1659.95,5341.38,2,8661.28,SELL
13,1742.67,5341.38,2,8826.72,HOLD
14,1825.76,3515.62,3,8992.90,BUY
15,1841.66,1673.96,4,9040.60,BUY
16,1911.63,1673.96,4,9320.48,HOLD
17,1942.54,3616.50,3,9444.12,SELL
18,1913.21,5529.71,2,9356.13,SELL
19,1961.40,7491.11,1,9452.51,SELL
20,2006.62,9497.73,0,9497.73,SELL
21,2138.18,9497.73,0,9497.73,HOLD
22,2084.63,7413.10,1,9497.73,BUY
23,2108.91,9522.01,0,9522.01,SELL
24,2115.25,9522.01,0,9522.01,HOLD
25,2135.30,7386.71,1,9522.01,BUY
26,2140.29,5246.42,2,9527.00,BUY
27,2187.85,7434.27,1,9622.12,SELL
28,2195.49,5238.78,2,9629.76,BUY
29,2248.49,2990.29,3,9735.76,BUY
30,2333.62,2990.29,3,9991.15,HOLD
31,2383.69,5373.98,2,10141.36,SELL
32,2283.48,3090.50,3,9940.94,BUY
33,2326.06,3090.50,3,10068.68,HOLD
34,2362.42,728.08,4,10177.76,BUY
35,2410.79,728.08,4,10371.24,HOLD
36,2379.38,728.08,4,10245.60,HOLD
37,2291.32,728.08,4,9893.36,HOLD
38,2383.82,728.08,4,10263.36,HOLD
39,2325.03,728.08,4,10028.20,HOLD
40,2344.49,3072.57,3,10106.04,SELL
41,2266.93,5339.50,2,9873.36,SELL
42,2404.97,7744.47,1,10149.44,SELL
43,2460.96,10205.43,0,10205.43,SELL
44,2539.79,10205.43,0,10205.43,HOLD
45,2618.47,10205.43,0,10205.43,HOLD
46,2705.34,10205.43,0,10205.43,HOLD
47,2754.16,10205.43,0,10205.43,HOLD
48,2762.80,10205.43,0,10205.43,HOLD
49,2799.56,10205.43,0,10205.43,HOLD
50,2961.37,10205.43,0,10205.43,HOLD
51,3109.63,10205.43,0,10205.43,HOLD
52,3077.15,10205.43,0,10205.43,HOLD
53,3118.89,10205.43,0,10205.43,HOLD
54,3091.85,7113.58,1,10205.43,BUY
55,3064.25,10177.83,0,10177.83,SELL
56,3040.28,7137.55,1,10177.83,BUY
57,2988.28,4149.27,2,10125.83,BUY
58,2992.64,7141.91,1,10134.55,SELL
59,3036.14,10178.05,0,10178.05,SELL
60,3019.60,10178.05,0,10178.05,HOLD
61,3025.39,7152.66,1,10178.05,BUY
62,3101.86,10254.52,0,10254.52,SELL
63,3127.91,7126.61,1,10254.52,BUY
64,3193.40,10320.01,0,10320.01,SELL
65,3191.34,7128.67,1,10320.01,BUY
66,3120.70,7128.67,1,10249.37,HOLD
67,3192.25,3936.42,2,10320.92,BUY
68,3135.38,3936.42,2,10207.18,HOLD
69,3160.30,7096.72,1,10257.02,SELL
70,3216.10,3880.62,2,10312.82,BUY
71,3216.18,7096.80,1,10312.98,SELL
72,3256.68,7096.80,1,10353.48,HOLD
73,3263.07,10359.87,0,10359.87,SELL
74,3288.63,10359.87,0,10359.87,HOLD
75,3277.66,7082.21,1,10359.87,BUY
76,3250.45,3831.76,2,10332.66,BUY
77,3215.91,3831.76,2,10263.58,HOLD
78,3210.90,3831.76,2,10253.56,HOLD
79,3237.55,594.21,3,10306.86,BUY
80,3217.65,594.21,3,10247.16,HOLD
81,3097.83,594.21,3,9887.70,HOLD
82,3121.04,3715.25,2,9957.33,SELL
83,3171.78,543.47,3,10058.81,BUY
84,3111.49,543.47,3,9877.94,HOLD
85,3126.65,543.47,3,9923.42,HOLD
86,3095.72,543.47,3,9830.63,HOLD
87,2908.30,543.47,3,9268.37,HOLD
88,2962.33,543.47,3,9430.46,HOLD
89,3002.74,543.47,3,9551.69,HOLD
90,3009.55,3553.02,2,9572.12,SELL
91,2978.07,3553.02,2,9509.16,HOLD
92,2903.72,3553.02,2,9360.46,HOLD
93,2937.53,3553.02,2,9428.08,HOLD
94,2973.24,6526.26,1,9499.50,SELL
95,2874.64,6526.26,1,9400.90,HOLD
96,3001.55,3524.71,2,9527.81,BUY
97,2989.63,3524.71,2,9503.97,HOLD
98,2980.91,3524.71,2,9486.53,HOLD
99,2975.74,3524.71,2,9476.19,HOLD
100,2933.10,3524.71,2,9390.91,HOLD
101,2914.73,609.98,3,9354.17,BUY
102,2817.11,3427.09,2,9061.31,SELL
103,2591.53,3427.09,2,8610.15,HOLD
104,2753.51,673.58,3,8934.11,BUY
105,2711.34,3384.92,2,8807.60,SELL
106,2705.31,3384.92,2,8795.54,HOLD
107,2726.35,6111.27,1,8837.62,SELL
108,2647.28,3463.99,2,8758.55,BUY
109,2688.71,3463.99,2,8841.41,HOLD
110,2722.36,741.63,3,8908.71,BUY
111,2729.68,741.63,3,8930.67,HOLD
112,2685.52,741.63,3,8798.19,HOLD
113,2685.01,741.63,3,8796.66,HOLD
114,2690.48,3432.11,2,8813.07,SELL
115,2664.06,3432.11,2,8760.23,HOLD
116,2606.08,3432.11,2,8644.27,HOLD
117,2593.61,838.50,3,8619.33,BUY
118,2634.29,838.50,3,8741.37,HOLD
119,2654.18,838.50,3,8801.04,HOLD
120,2621.96,3460.46,2,8704.38,SELL
121,2436.04,3460.46,2,8332.54,HOLD
122,2342.81,3460.46,2,8146.08,HOLD
123,2375.45,3460.46,2,8211.36,HOLD
124,2290.33,3460.46,2,8041.12,HOLD
125,2312.49,3460.46,2,8085.44,HOLD
126,2382.65,1077.81,3,8225.76,BUY
127,2396.19,1077.81,3,8266.38,HOLD
128,2433.12,1077.81,3,8377.17,HOLD
129,2478.21,1077.81,3,8512.44,HOLD
130,2488.09,1077.81,3,8542.08,HOLD
131,2455.32,1077.81,3,8443.77,HOLD
132,2415.61,1077.81,3,8324.64,HOLD
133,2379.06,3456.87,2,8214.99,SELL
134,2352.76,1104.11,3,8162.39,BUY
135,2215.36,1104.11,3,7750.19,HOLD
136,2180.84,1104.11,3,7646.63,HOLD
137,2181.65,1104.11,3,7649.06,HOLD
138,2234.59,1104.11,3,7807.88,HOLD
139,2234.49,1104.11,3,7807.58,HOLD
140,2323.37,1104.11,3,8074.22,HOLD
141,2403.64,1104.11,3,8315.03,HOLD
142,2446.79,1104.11,3,8444.48,HOLD
143,2407.58,1104.11,3,8326.85,HOLD
144,2421.42,3525.53,2,8368.37,SELL
145,2377.98,3525.53,2,8281.49,HOLD
146,2379.44,1146.09,3,8284.41,BUY
147,2325.78,1146.09,3,8123.43,HOLD
148,2276.90,3422.99,2,7976.79,SELL
149,2252.97,5675.96,1,7928.93,SELL
150,2358.33,3317.63,2,8034.29,BUY
151,2354.56,963.07,3,8026.75,BUY
152,2446.59,3409.66,2,8302.84,SELL
153,2438.04,3409.66,2,8285.74,HOLD
154,2440.86,5850.52,1,8291.38,SELL
155,2430.27,3420.25,2,8280.79,BUY
156,2383.76,3420.25,2,8187.77,HOLD
157,2455.65,964.60,3,8331.55,BUY
158,2348.19,964.60,3,8009.17,HOLD
159,2383.17,964.60,3,8114.11,HOLD
160,2415.34,964.60,3,8210.62,HOLD
161,2472.79,964.60,3,8382.97,HOLD
162,2514.42,3479.02,2,8507.86,SELL
163,2557.19,3479.02,2,8593.40,HOLD
164,2472.33,5951.35,1,8423.68,SELL
165,2497.83,8449.18,0,8449.18,SELL
166,2490.08,8449.18,0,8449.18,HOLD
167,2500.01,5949.17,1,8449.18,BUY
168,2551.49,8500.66,0,8500.66,SELL
169,2583.88,5916.78,1,8500.66,BUY
170,2623.43,3293.35,2,8540.21,BUY
171,2600.49,5893.84,1,8494.33,SELL
172,2562.03,5893.84,1,8455.87,HOLD
173,2580.49,5893.84,1,8474.33,HOLD
174,2517.67,3376.17,2,8411.51,BUY
175,2611.55,5987.72,1,8599.27,SELL
176,2595.21,3392.51,2,8582.93,BUY
177,2622.21,3392.51,2,8636.93,HOLD
178,2580.71,3392.51,2,8553.93,HOLD
179,2561.88,3392.51,2,8516.27,HOLD
180,2509.53,3392.51,2,8411.57,HOLD
181,2545.27,5937.78,1,8483.05,SELL
182,2575.19,8512.97,0,8512.97,SELL
183,2535.15,8512.97,0,8512.97,HOLD
184,2555.46,5957.51,1,8512.97,BUY
185,2461.59,5957.51,1,8419.10,HOLD
186,2402.44,5957.51,1,8359.95,HOLD
187,2449.42,5957.51,1,8406.93,HOLD
188,2326.67,3630.84,2,8284.18,BUY
189,2273.97,3630.84,2,8178.78,HOLD
190,2418.74,3630.84,2,8468.32,HOLD
191,2422.97,1207.87,3,8476.78,BUY
192,2500.91,1207.87,3,8710.60,HOLD
193,2502.26,1207.87,3,8714.65,HOLD
194,2492.55,3700.42,2,8685.52,SELL
195,2529.74,3700.42,2,8759.90,HOLD
196,2556.52,6256.94,1,8813.46,SELL
197,2590.08,8847.02,0,8847.02,SELL
198,2572.60,6274.42,1,8847.02,BUY
199,2517.76,6274.42,1,8792.18,HOLD
200,2455.50,6274.42,1,8729.92,HOLD
201,2453.45,8727.87,0,8727.87,SELL
202,2559.39,8727.87,0,8727.87,HOLD
203,2640.96,6086.91,1,8727.87,BUY
204,2643.93,6086.91,1,8730.84,HOLD
205,2619.38,6086.91,1,8706.29,HOLD
206,2630.16,6086.91,1,8717.07,HOLD
207,2679.54,3407.37,2,8766.45,BUY
208,2674.09,3407.37,2,8755.55,HOLD
209,2745.00,662.37,3,8897.37,BUY
210,2706.97,3369.34,2,8783.28,SELL
211,2661.92,6031.26,1,8693.18,SELL
212,2593.26,3438.00,2,8624.52,BUY
213,2628.62,809.38,3,8695.24,BUY
214,2678.84,809.38,3,8845.90,HOLD
215,2723.21,809.38,3,8979.01,HOLD
216,2734.64,809.38,3,9013.30,HOLD
217,2693.66,3503.04,2,8890.36,SELL
218,2657.81,6160.85,1,8818.66,SELL
219,2702.17,6160.85,1,8863.02,HOLD
220,2759.03,3401.82,2,8919.88,BUY
221,2765.76,6167.58,1,8933.34,SELL
222,2776.62,6167.58,1,8944.20,HOLD
223,2854.13,3313.45,2,9021.71,BUY
224,2857.07,6170.52,1,9027.59,SELL
225,2765.81,6170.52,1,8936.33,HOLD
226,2732.82,3437.70,2,8903.34,BUY
227,2491.47,946.23,3,8420.64,BUY
228,2607.52,946.23,3,8768.79,HOLD
229,2684.61,946.23,3,9000.06,HOLD
230,2671.59,3617.82,2,8961.00,SELL
231,2578.07,1039.75,3,8773.96,BUY
232,2493.37,1039.75,3,8519.86,HOLD
233,2588.49,1039.75,3,8805.22,HOLD
234,2593.27,1039.75,3,8819.56,HOLD
235,2596.86,1039.75,3,8830.33,HOLD
236,2603.52,3643.27,2,8850.31,SELL
237,2578.80,1064.47,3,8800.87,BUY
238,2552.36,1064.47,3,8721.55,HOLD
239,2540.48,1064.47,3,8685.91,HOLD
240,2410.93,1064.47,3,8297.26,HOLD
241,2474.62,3539.09,2,8488.33,SELL
242,2495.64,3539.09,2,8530.37,HOLD
243,2434.78,3539.09,2,8408.65,HOLD
244,2448.76,1090.33,3,8436.61,BUY
245,2423.59,8361.10,0,8361.10,SELL;LIQUIDATE;LIQUIDATE
246,2388.33,8361.10,0,8361.10,HOLD
