DAY,Price,Cash,Shares,PortfolioValue,Action
0,8976.43,37348.70,0,37348.70,HOLD
1,9164.66,37348.70,0,37348.70,HOLD
2,9346.81,28001.89,1,37348.70,BUY
3,9088.04,28001.89,1,37089.93,HOLD
4,9188.55,18813.34,2,37190.44,BUY
5,9493.63,28306.97,1,37800.60,SELL
6,9675.80,18631.17,2,37982.77,BUY
7,8940.49,18631.17,2,36512.15,HOLD
8,8602.89,10028.28,3,35836.95,BUY
9,7930.43,17958.71,2,33819.57,SELL
10,6828.91,17958.71,2,31616.53,HOLD
11,7169.86,10788.85,3,32298.43,BUY
12,7642.86,3145.99,4,33717.43,BUY
13,7881.22,3145.99,4,34670.87,HOLD
14,8308.79,3145.99,4,36381.15,HOLD
15,8404.54,3145.99,4,36764.15,HOLD
16,8765.01,3145.99,4,38206.03,HOLD
17,8819.37,11965.36,3,38423.47,SELL
18,8752.68,3212.68,4,38223.40,BUY
19,9304.20,3212.68,4,40429.48,HOLD
20,9345.28,12557.96,3,40593.80,SELL
21,9560.41,2997.55,4,41239.19,BUY
22,9491.31,12488.86,3,40962.79,SELL
23,9885.66,2603.20,4,42145.84,BUY
24,9810.47,2603.20,4,41845.08,HOLD
25,10194.06,12797.26,3,43379.44,SELL
26,10447.01,23244.27,2,44138.29,SELL
27,10421.20,23244.27,2,44086.67,HOLD
28,10217.31,23244.27,2,43678.89,HOLD
29,10557.70,33801.97,1,44359.67,SELL
30,10920.37,44722.34,0,44722.34,SELL
31,10972.06,33750.28,1,44722.34,BUY
32,11245.44,22504.84,2,44995.72,BUY
33,11634.77,10870.07,3,45774.38,BUY
34,10875.87,21745.94,2,43497.68,SELL
35,10982.26,32728.20,1,43710.46,SELL
36,10519.49,22208.71,2,43247.69,BUY
37,11019.14,33227.85,1,44246.99,SELL
38,11162.52,22065.33,2,44390.37,BUY
39,11704.13,22065.33,2,45473.59,HOLD
40,11454.57,33519.90,1,44974.47,SELL
41,11221.06,33519.90,1,44740.96,HOLD
42,10830.94,33519.90,1,44350.84,HOLD
43,11703.49,45223.39,0,45223.39,SELL
44,11814.89,33408.50,1,45223.39,BUY
45,11796.53,45205.03,0,45205.03,SELL
46,12263.93,32941.10,1,45205.03,BUY
47,12453.21,32941.10,1,45394.31,HOLD
48,12465.42,20475.68,2,45406.52,BUY
49,12695.31,20475.68,2,45866.30,HOLD
50,12857.76,7617.92,3,46191.20,BUY
51,12867.34,7617.92,3,46219.94,HOLD
52,13098.41,7617.92,3,46913.15,HOLD
53,13463.66,21081.58,2,48008.90,SELL
54,12985.05,34066.63,1,47051.68,SELL
55,13761.66,20304.97,2,47828.29,BUY
56,13937.71,20304.97,2,48180.39,HOLD
57,13530.96,6774.01,3,47366.89,BUY
58,13362.66,20136.67,2,46861.99,SELL
59,12599.23,7537.44,3,45335.13,BUY
60,13272.50,20809.94,2,47354.94,SELL
61,13278.78,34088.72,1,47367.50,SELL
62,12968.16,34088.72,1,47056.88,HOLD
63,13674.28,20414.44,2,47763.00,BUY
64,13902.45,34316.89,1,48219.34,SELL
65,13698.67,48015.56,0,48015.56,SELL
66,14064.28,48015.56,0,48015.56,HOLD
67,13485.59,34529.97,1,48015.56,BUY
68,13107.67,21422.30,2,47637.64,BUY
69,13299.92,21422.30,2,48022.14,HOLD
