DAY,Price,Cash,Shares,PortfolioValue,Action
0,591.38,6140.00,0,6140.00,HOLD
1,485.14,6140.00,0,6140.00,HOLD
2,488.98,6140.00,0,6140.00,HOLD
3,551.30,6140.00,0,6140.00,HOLD
4,599.30,6140.00,0,6140.00,HOLD
5,603.15,6140.00,0,6140.00,HOLD
6,637.33,6140.00,0,6140.00,HOLD
7,635.16,6140.00,0,6140.00,HOLD
8,673.66,6140.00,0,6140.00,HOLD
9,687.67,5452.33,1,6140.00,BUY
10,718.81,4733.52,2,6171.14,BUY
11,735.06,3998.46,3,6203.64,BUY
12,746.56,4745.02,2,6238.14,SELL
13,714.14,5459.16,1,6173.30,SELL
14,744.26,4714.90,2,6203.42,BUY
15,731.76,4714.90,2,6178.42,HOLD
16,755.44,3959.46,3,6225.78,BUY
17,775.29,3184.17,4,6285.33,BUY
18,785.75,3969.92,3,6327.17,SELL
19,802.04,3167.88,4,6376.04,BUY
20,830.55,3167.88,4,6490.08,HOLD
21,858.00,3167.88,4,6599.88,HOLD
22,805.52,3167.88,4,6389.96,HOLD
23,827.27,3995.15,3,6476.96,SELL
24,858.23,4853.38,2,6569.84,SELL
25,864.17,5717.55,1,6581.72,SELL
26,891.99,6609.54,0,6609.54,SELL
27,821.89,6609.54,0,6609.54,HOLD
28,843.06,6609.54,0,6609.54,HOLD
29,865.95,6609.54,0,6609.54,HOLD
30,803.24,6609.54,0,6609.54,HOLD
31,766.96,6609.54,0,6609.54,HOLD
32,810.01,5799.53,1,6609.54,BUY
33,835.27,6634.80,0,6634.80,SELL
34,836.00,5798.80,1,6634.80,BUY
35,868.89,4929.91,2,6667.69,BUY
36,883.24,5813.15,1,6696.39,SELL
37,906.31,4906.84,2,6719.46,BUY
38,921.27,5828.11,1,6749.38,SELL
39,928.51,6756.62,0,6756.62,SELL
40,955.38,6756.62,0,6756.62,HOLD
41,978.12,6756.62,0,6756.62,HOLD
42,963.09,6756.62,0,6756.62,HOLD
43,975.05,6756.62,0,6756.62,HOLD
44,918.68,6756.62,0,6756.62,HOLD
45,961.26,5795.36,1,6756.62,BUY
46,974.30,6769.66,0,6769.66,SELL
47,934.35,5835.31,1,6769.66,BUY
48,920.07,6755.38,0,6755.38,SELL
49,890.07,6755.38,0,6755.38,HOLD
50,935.11,5820.27,1,6755.38,BUY
51,939.19,6759.46,0,6759.46,SELL
52,954.17,6759.46,0,6759.46,HOLD
53,968.35,6759.46,0,6759.46,HOLD
54,1009.34,6759.46,0,6759.46,HOLD
55,1019.59,5739.87,1,6759.46,BUY
56,995.96,6735.83,0,6735.83,SELL
57,961.16,6735.83,0,6735.83,HOLD
58,948.04,6735.83,0,6735.83,HOLD
59,965.55,6735.83,0,6735.83,HOLD
60,973.76,5762.07,1,6735.83,BUY
61,983.02,5762.07,1,6745.09,HOLD
62,989.15,6751.22,0,6751.22,SELL
63,1004.57,6751.22,0,6751.22,HOLD
64,1011.31,6751.22,0,6751.22,HOLD
65,1033.94,5717.28,1,6751.22,BUY
66,1013.91,4703.37,2,6731.19,BUY
67,1044.70,3658.67,3,6792.77,BUY
68,1053.01,3658.67,3,6817.70,HOLD
69,1029.19,4687.86,2,6746.24,SELL
70,1055.64,3632.22,3,6799.14,BUY
71,1024.48,4656.70,2,6705.66,SELL
72,969.48,4656.70,2,6595.66,HOLD
73,1027.84,3628.86,3,6712.38,BUY
74,1049.27,4678.13,2,6776.67,SELL
75,1023.98,5702.11,1,6726.09,SELL
76,1036.25,6738.36,0,6738.36,SELL
77,999.58,5738.78,1,6738.36,BUY
78,948.02,6686.80,0,6686.80,SELL
79,985.14,5701.66,1,6686.80,BUY
80,986.55,6688.21,0,6688.21,SELL
81,994.28,5693.93,1,6688.21,BUY
82,988.36,5693.93,1,6682.29,HOLD
83,1016.16,4677.77,2,6710.09,BUY
84,1023.13,3654.64,3,6724.03,BUY
85,980.26,2674.38,4,6595.42,BUY
86,980.87,1693.51,5,6597.86,BUY
87,1005.96,687.55,6,6723.31,BUY
88,990.51,1678.06,5,6630.61,SELL
89,1006.87,671.19,6,6712.41,BUY
90,1025.23,671.19,6,6822.57,HOLD
91,962.91,1634.10,5,6448.65,SELL
92,942.11,2576.21,4,6344.65,SELL
93,883.17,3459.38,3,6108.89,SELL
94,886.93,3459.38,3,6120.17,HOLD
95,877.28,3459.38,3,6091.22,HOLD
96,860.81,2598.57,4,6041.81,BUY
97,863.47,3462.04,3,6052.45,SELL
98,878.45,4340.49,2,6097.39,SELL
99,866.47,4340.49,2,6073.43,HOLD
100,914.33,5254.82,1,6169.15,SELL
101,930.34,6185.16,0,6185.16,SELL
102,949.46,6185.16,0,6185.16,HOLD
103,905.18,6185.16,0,6185.16,HOLD
104,922.60,5262.56,1,6185.16,BUY
105,906.59,6169.15,0,6169.15,SELL
106,905.05,6169.15,0,6169.15,HOLD
107,852.23,5316.92,1,6169.15,BUY
108,868.28,4448.64,2,6185.20,BUY
109,861.92,5310.56,1,6172.48,SELL
110,888.45,4422.11,2,6199.01,BUY
111,865.96,3556.15,3,6154.03,BUY
112,780.96,4337.11,2,5899.03,SELL
113,719.47,5056.58,1,5776.05,SELL
114,724.20,5780.78,0,5780.78,SELL
115,764.02,5780.78,0,5780.78,HOLD
116,754.33,5780.78,0,5780.78,HOLD
117,789.73,5780.78,0,5780.78,HOLD
118,801.05,5780.78,0,5780.78,HOLD
119,826.23,4954.55,1,5780.78,BUY
120,826.72,4127.83,2,5781.27,BUY
121,795.87,4923.70,1,5719.57,SELL
122,775.33,4923.70,1,5699.03,HOLD
123,768.82,5692.52,0,5692.52,SELL
124,770.05,5692.52,0,5692.52,HOLD
125,750.14,4942.38,1,5692.52,BUY
126,668.30,5610.68,0,5610.68,SELL
127,690.48,5610.68,0,5610.68,HOLD
128,665.17,4945.51,1,5610.68,BUY
129,674.48,4271.03,2,5619.99,BUY
130,687.19,3583.84,3,5645.41,BUY
131,684.99,4268.83,2,5638.81,SELL
132,724.53,4993.36,1,5717.89,SELL
133,731.53,5724.89,0,5724.89,SELL
134,732.48,5724.89,0,5724.89,HOLD
135,732.41,5724.89,0,5724.89,HOLD
136,712.40,5724.89,0,5724.89,HOLD
137,710.20,5724.89,0,5724.89,HOLD
138,691.25,5724.89,0,5724.89,HOLD
139,670.38,5054.51,1,5724.89,BUY
140,695.02,5749.53,0,5749.53,SELL
141,713.19,5749.53,0,5749.53,HOLD
142,725.23,5024.30,1,5749.53,BUY
143,744.03,5768.33,0,5768.33,SELL
144,776.30,4992.03,1,5768.33,BUY
145,763.81,4228.22,2,5755.84,BUY
146,774.54,5002.76,1,5777.30,SELL
147,786.52,4216.24,2,5789.28,BUY
148,801.10,4216.24,2,5818.44,HOLD
149,767.11,4983.35,1,5750.46,SELL
150,806.40,5789.75,0,5789.75,SELL
151,846.10,5789.75,0,5789.75,HOLD
152,859.13,5789.75,0,5789.75,HOLD
153,875.42,5789.75,0,5789.75,HOLD
154,884.33,5789.75,0,5789.75,HOLD
155,823.19,5789.75,0,5789.75,HOLD
156,842.07,5789.75,0,5789.75,HOLD
157,806.47,5789.75,0,5789.75,HOLD
158,837.49,5789.75,0,5789.75,HOLD
159,844.48,5789.75,0,5789.75,HOLD
160,872.10,5789.75,0,5789.75,HOLD
161,870.48,4919.27,1,5789.75,BUY
162,875.33,4043.94,2,5794.60,BUY
163,866.70,3177.24,3,5777.34,BUY
164,889.23,4066.47,2,5844.93,SELL
165,873.91,4940.38,1,5814.29,SELL
166,910.25,5850.63,0,5850.63,SELL
167,886.14,4964.49,1,5850.63,BUY
168,907.87,5872.36,0,5872.36,SELL
169,889.94,5872.36,0,5872.36,HOLD
170,863.32,5009.04,1,5872.36,BUY
171,892.12,4116.92,2,5901.16,BUY
172,923.40,3193.52,3,5963.72,BUY
173,902.95,2290.57,4,5902.37,BUY
174,886.46,1404.11,5,5836.41,BUY
175,859.51,544.60,6,5701.66,BUY
176,806.47,544.60,6,5383.42,HOLD
177,822.27,1366.87,5,5478.22,SELL
178,782.63,584.24,6,5280.02,BUY
179,740.51,1324.75,5,5027.30,SELL
180,753.37,2078.12,4,5091.60,SELL
181,797.44,2875.56,3,5267.88,SELL
182,804.74,2070.82,4,5289.78,BUY
183,813.25,2884.07,3,5323.82,SELL
184,819.23,2064.84,4,5341.76,BUY
185,810.90,2875.74,3,5308.44,SELL
186,834.66,3710.40,2,5379.72,SELL
187,851.82,3710.40,2,5414.04,HOLD
188,865.26,4575.66,1,5440.92,SELL
189,881.97,5457.63,0,5457.63,SELL
190,846.47,4611.16,1,5457.63,BUY
191,833.24,4611.16,1,5444.40,HOLD
192,811.57,4611.16,1,5422.73,HOLD
193,795.37,3815.79,2,5406.53,BUY
194,852.79,2963.00,3,5521.37,BUY
195,864.56,2098.44,4,5556.68,BUY
196,858.30,1240.14,5,5531.64,BUY
197,866.18,373.96,6,5571.04,BUY
198,875.87,373.96,6,5629.18,HOLD
199,900.84,373.96,6,5779.00,HOLD
200,903.61,373.96,6,5795.62,HOLD
201,867.45,373.96,6,5578.66,HOLD
202,842.84,373.96,6,5431.00,HOLD
203,840.29,1214.25,5,5415.70,SELL
204,860.53,2074.78,4,5516.90,SELL
205,862.81,2074.78,4,5526.02,HOLD
206,868.51,1206.27,5,5548.82,BUY
207,839.16,2045.43,4,5402.07,SELL
208,831.02,2045.43,4,5369.51,HOLD
209,855.06,1190.37,5,5465.67,BUY
210,859.69,2050.06,4,5488.82,SELL
211,848.50,2050.06,4,5444.06,HOLD
212,838.29,1211.77,5,5403.22,BUY
213,841.98,369.79,6,5421.67,BUY
214,845.03,1214.82,5,5439.97,SELL
215,819.13,2033.95,4,5310.47,SELL
216,795.02,2828.97,3,5214.03,SELL
217,778.39,2828.97,3,5164.14,HOLD
218,759.91,3588.88,2,5108.70,SELL
219,776.71,2812.17,3,5142.30,BUY
220,764.46,2047.71,4,5105.55,BUY
221,764.15,2811.86,3,5104.31,SELL
222,693.86,3505.72,2,4893.44,SELL
223,729.93,3505.72,2,4965.58,HOLD
224,764.15,4269.87,1,5034.02,SELL
225,771.11,3498.76,2,5040.98,BUY
226,768.13,4266.89,1,5035.02,SELL
227,738.33,5005.22,0,5005.22,SELL
228,733.28,5005.22,0,5005.22,HOLD
229,750.17,5005.22,0,5005.22,HOLD
230,707.96,5005.22,0,5005.22,HOLD
231,682.50,5005.22,0,5005.22,HOLD
232,689.53,5005.22,0,5005.22,HOLD
233,678.98,4326.24,1,5005.22,BUY
234,635.94,4962.18,0,4962.18,SELL
235,691.58,4962.18,0,4962.18,HOLD
236,679.23,4962.18,0,4962.18,HOLD
