DAY,Price,Cash,Shares,PortfolioValue,Action
0,8976.43,37348.70,0,37348.70,HOLD
1,9164.66,37348.70,0,37348.70,HOLD
2,9346.81,28001.89,1,37348.70,BUY
3,9088.04,37089.93,0,37089.93,SELL
4,9188.55,37089.93,0,37089.93,HOLD
5,9493.63,27596.30,1,37089.93,BUY
6,9675.80,37272.10,0,37272.10,SELL
7,8940.49,37272.10,0,37272.10,HOLD
8,8602.89,37272.10,0,37272.10,HOLD
9,7930.43,37272.10,0,37272.10,HOLD
10,6828.91,30443.19,1,37272.10,BUY
11,7169.86,37613.05,0,37613.05,SELL
12,7642.86,37613.05,0,37613.05,HOLD
13,7881.22,37613.05,0,37613.05,HOLD
14,8308.79,37613.05,0,37613.05,HOLD
15,8404.54,29208.51,1,37613.05,BUY
16,8765.01,37973.52,0,37973.52,SELL
17,8819.37,29154.15,1,37973.52,BUY
18,8752.68,37906.83,0,37906.83,SELL
19,9304.20,37906.83,0,37906.83,HOLD
20,9345.28,28561.55,1,37906.83,BUY
21,9560.41,38121.96,0,38121.96,SELL
22,9491.31,38121.96,0,38121.96,HOLD
23,9885.66,28236.30,1,38121.96,BUY
24,9810.47,38046.77,0,38046.77,SELL
25,10194.06,38046.77,0,38046.77,HOLD
26,10447.01,38046.77,0,38046.77,HOLD
27,10421.20,27625.57,1,38046.77,BUY
28,10217.31,37842.88,0,37842.88,SELL
29,10557.70,37842.88,0,37842.88,HOLD
30,10920.37,37842.88,0,37842.88,HOLD
31,10972.06,37842.88,0,37842.88,HOLD
32,11245.44,37842.88,0,37842.88,HOLD
33,11634.77,37842.88,0,37842.88,HOLD
34,10875.87,37842.88,0,37842.88,HOLD
35,10982.26,26860.62,1,37842.88,BUY
36,10519.49,26860.62,1,37380.11,HOLD
37,11019.14,37879.76,0,37879.76,SELL
38,11162.52,37879.76,0,37879.76,HOLD
39,11704.13,37879.76,0,37879.76,HOLD
40,11454.57,37879.76,0,37879.76,HOLD
41,11221.06,26658.70,1,37879.76,BUY
42,10830.94,15827.76,2,37489.64,BUY
43,11703.49,15827.76,2,39234.74,HOLD
44,11814.89,27642.65,1,39457.54,SELL
45,11796.53,39439.18,0,39439.18,SELL
46,12263.93,39439.18,0,39439.18,HOLD
47,12453.21,39439.18,0,39439.18,HOLD
48,12465.42,39439.18,0,39439.18,HOLD
49,12695.31,39439.18,0,39439.18,HOLD
50,12857.76,39439.18,0,39439.18,HOLD
51,12867.34,39439.18,0,39439.18,HOLD
52,13098.41,26340.77,1,39439.18,BUY
53,13463.66,26340.77,1,39804.43,HOLD
54,12985.05,39325.82,0,39325.82,SELL
55,13761.66,25564.16,1,39325.82,BUY
56,13937.71,39501.87,0,39501.87,SELL
57,13530.96,39501.87,0,39501.87,HOLD
58,13362.66,39501.87,0,39501.87,HOLD
59,12599.23,39501.87,0,39501.87,HOLD
60,13272.50,39501.87,0,39501.87,HOLD
61,13278.78,26223.09,1,39501.87,BUY
62,12968.16,26223.09,1,39191.25,HOLD
63,13674.28,39897.37,0,39897.37,SELL
64,13902.45,39897.37,0,39897.37,HOLD
65,13698.67,39897.37,0,39897.37,HOLD
66,14064.28,39897.37,0,39897.37,HOLD
67,13485.59,26411.78,1,39897.37,BUY
68,13107.67,13304.11,2,39519.45,BUY
69,13299.92,13304.11,2,39903.95,HOLD
