DAY,Price,Cash,Shares,PortfolioValue,Action
0,23299.92,165209.28,1,188509.20,BUY
1,23875.82,141333.46,2,189085.10,BUY
2,23831.10,165164.56,1,188995.66,SELL
3,23214.28,188378.84,0,188378.84,SELL
4,23241.64,188378.84,0,188378.84,HOLD
5,23784.31,188378.84,0,188378.84,HOLD
6,23426.42,188378.84,0,188378.84,HOLD
7,20916.40,167462.44,1,188378.84,BUY
8,20613.91,188076.35,0,188076.35,SELL
9,16690.60,188076.35,0,188076.35,HOLD
10,16480.95,171595.40,1,188076.35,BUY
11,18578.20,190173.60,0,190173.60,SELL
12,17802.62,190173.60,0,190173.60,HOLD
13,19014.32,190173.60,0,190173.60,HOLD
14,19611.79,190173.60,0,190173.60,HOLD
15,19410.18,190173.60,0,190173.60,HOLD
16,19894.58,190173.60,0,190173.60,HOLD
17,19832.88,190173.60,0,190173.60,HOLD
18,20334.99,190173.60,0,190173.60,HOLD
19,21710.80,168462.80,1,190173.60,BUY
20,22563.56,168462.80,1,191026.36,HOLD
21,21786.93,190249.73,0,190249.73,SELL
22,22352.16,167897.57,1,190249.73,BUY
23,22408.27,145489.30,2,190305.84,BUY
24,22154.97,167644.27,1,189799.24,SELL
25,22285.07,189929.34,0,189929.34,SELL
26,22643.52,189929.34,0,189929.34,HOLD
27,22646.22,189929.34,0,189929.34,HOLD
28,22379.74,189929.34,0,189929.34,HOLD
29,22670.74,189929.34,0,189929.34,HOLD
30,22953.60,166975.74,1,189929.34,BUY
31,23203.00,190178.74,0,190178.74,SELL
32,23170.82,167007.92,1,190178.74,BUY
33,22878.71,189886.63,0,189886.63,SELL
34,23397.43,166489.20,1,189886.63,BUY
35,23154.66,189643.86,0,189643.86,SELL
36,23252.69,189643.86,0,189643.86,HOLD
37,23501.26,189643.86,0,189643.86,HOLD
38,23543.69,189643.86,0,189643.86,HOLD
39,23475.52,166168.34,1,189643.86,BUY
40,23096.79,143071.55,2,189265.13,BUY
41,24833.18,167904.73,1,192737.91,SELL
42,25851.54,193756.27,0,193756.27,SELL
43,26258.35,193756.27,0,193756.27,HOLD
44,26695.28,193756.27,0,193756.27,HOLD
45,26520.60,193756.27,0,193756.27,HOLD
46,26717.03,193756.27,0,193756.27,HOLD
47,26414.74,193756.27,0,193756.27,HOLD
48,27338.56,166417.71,1,193756.27,BUY
49,27667.75,166417.71,1,194085.46,HOLD
50,28111.54,166417.71,1,194529.25,HOLD
51,28566.85,137850.86,2,194984.56,BUY
52,27649.07,165499.93,1,193149.00,SELL
53,28817.60,194317.53,0,194317.53,SELL
54,30191.65,164125.88,1,194317.53,BUY
55,29671.70,134454.18,2,193797.58,BUY
56,29336.60,163790.78,1,193127.38,SELL
57,28960.09,192750.87,0,192750.87,SELL
58,29825.16,162925.71,1,192750.87,BUY
59,28379.06,191304.77,0,191304.77,SELL
60,29165.52,191304.77,0,191304.77,HOLD
61,29523.55,191304.77,0,191304.77,HOLD
62,29567.18,191304.77,0,191304.77,HOLD
63,28419.84,191304.77,0,191304.77,HOLD
64,28875.91,191304.77,0,191304.77,HOLD
65,28535.36,191304.77,0,191304.77,HOLD
66,27931.57,163373.20,1,191304.77,BUY
67,28443.74,191816.94,0,191816.94,SELL
68,28611.25,191816.94,0,191816.94,HOLD
69,28897.64,191816.94,0,191816.94,HOLD
70,29235.71,162581.23,1,191816.94,BUY
71,28494.46,191075.69,0,191075.69,SELL
72,28735.55,162340.14,1,191075.69,BUY
73,28587.61,190927.75,0,190927.75,SELL
74,28699.04,190927.75,0,190927.75,HOLD
75,27330.15,163597.60,1,190927.75,BUY
76,27663.41,163597.60,1,191261.01,HOLD
77,27526.67,136070.93,2,191124.27,BUY
78,27949.33,136070.93,2,191969.59,HOLD
79,26954.81,163025.74,1,189980.55,SELL
80,27481.23,135544.51,2,190506.97,BUY
81,28607.87,164152.38,1,192760.25,SELL
82,30064.02,194216.40,0,194216.40,SELL
83,30358.93,194216.40,0,194216.40,HOLD
84,30001.99,194216.40,0,194216.40,HOLD
85,27460.29,194216.40,0,194216.40,HOLD
86,28166.38,166050.02,1,194216.40,BUY
87,29075.37,136974.65,2,195125.39,BUY
88,28893.95,165868.60,1,194762.55,SELL
89,29457.18,165868.60,1,195325.78,HOLD
90,29079.77,136788.83,2,194948.37,BUY
91,29623.79,166412.62,1,196036.41,SELL
92,29444.45,195857.07,0,195857.07,SELL
93,27644.96,195857.07,0,195857.07,HOLD
