DAY,Price,Cash,Shares,PortfolioValue,Action
0,8943.50,37156.20,0,37156.20,HOLD
1,9193.06,37156.20,0,37156.20,HOLD
2,9350.20,37156.20,0,37156.20,HOLD
3,9182.33,37156.20,0,37156.20,HOLD
4,9374.05,27782.15,1,37156.20,BUY
5,9617.21,37399.36,0,37399.36,SELL
6,9777.10,37399.36,0,37399.36,HOLD
7,8927.80,37399.36,0,37399.36,HOLD
8,8757.66,37399.36,0,37399.36,HOLD
9,7850.94,37399.36,0,37399.36,HOLD
10,6686.36,37399.36,0,37399.36,HOLD
11,7276.40,37399.36,0,37399.36,HOLD
12,7301.98,37399.36,0,37399.36,HOLD
13,7901.94,37399.36,0,37399.36,HOLD
14,8393.27,37399.36,0,37399.36,HOLD
15,8475.20,37399.36,0,37399.36,HOLD
16,8825.83,37399.36,0,37399.36,HOLD
17,8932.85,37399.36,0,37399.36,HOLD
18,8705.25,37399.36,0,37399.36,HOLD
19,9254.85,37399.36,0,37399.36,HOLD
20,9324.73,28074.63,1,37399.36,BUY
21,9685.35,37759.98,0,37759.98,SELL
22,9413.62,37759.98,0,37759.98,HOLD
23,9872.94,37759.98,0,37759.98,HOLD
24,9749.07,28010.91,1,37759.98,BUY
25,10354.98,38365.89,0,38365.89,SELL
26,10368.04,38365.89,0,38365.89,HOLD
27,10488.04,38365.89,0,38365.89,HOLD
28,10399.86,38365.89,0,38365.89,HOLD
29,10831.15,38365.89,0,38365.89,HOLD
30,10849.46,38365.89,0,38365.89,HOLD
31,11080.30,27285.59,1,38365.89,BUY
32,11297.53,38583.12,0,38583.12,SELL
33,11697.42,38583.12,0,38583.12,HOLD
34,10837.20,38583.12,0,38583.12,HOLD
35,11127.98,38583.12,0,38583.12,HOLD
36,10737.52,38583.12,0,38583.12,HOLD
37,11065.63,38583.12,0,38583.12,HOLD
38,11124.45,38583.12,0,38583.12,HOLD
39,11821.83,38583.12,0,38583.12,HOLD
40,11471.24,27111.88,1,38583.12,BUY
41,11361.86,38473.74,0,38473.74,SELL
42,11004.84,27468.90,1,38473.74,BUY
43,11424.61,16044.29,2,38893.51,BUY
44,11852.41,27896.70,1,39749.11,SELL
45,11863.45,39760.15,0,39760.15,SELL
46,12217.35,39760.15,0,39760.15,HOLD
47,12290.78,39760.15,0,39760.15,HOLD
48,12566.38,39760.15,0,39760.15,HOLD
49,12758.67,39760.15,0,39760.15,HOLD
50,12821.23,26938.92,1,39760.15,BUY
51,13036.55,13902.37,2,39975.47,BUY
52,12949.76,952.61,3,39801.89,BUY
53,13368.68,952.61,3,41058.65,HOLD
54,13132.47,14085.08,2,40350.02,SELL
55,13894.15,27979.23,1,41873.38,SELL
56,13995.45,41974.68,0,41974.68,SELL
57,13003.98,41974.68,0,41974.68,HOLD
58,13352.00,41974.68,0,41974.68,HOLD
59,12882.49,29092.19,1,41974.68,BUY
60,13397.08,42489.27,0,42489.27,SELL
61,13202.43,42489.27,0,42489.27,HOLD
62,12922.57,42489.27,0,42489.27,HOLD
63,13653.58,28835.69,1,42489.27,BUY
64,13839.04,42674.73,0,42674.73,SELL
65,13706.86,28967.87,1,42674.73,BUY
66,14034.70,43002.57,0,43002.57,SELL
67,13553.93,43002.57,0,43002.57,HOLD
68,13002.53,43002.57,0,43002.57,HOLD
69,13072.23,29930.34,1,43002.57,BUY
70,13679.59,29930.34,1,43609.93,HOLD
71,13548.93,43479.27,0,43479.27,SELL
72,13904.40,29574.87,1,43479.27,BUY
73,13998.93,43573.80,0,43573.80,SELL
74,14333.70,43573.80,0,43573.80,HOLD
75,14439.40,43573.80,0,43573.80,HOLD
76,14552.26,43573.80,0,43573.80,HOLD
77,14413.32,29160.48,1,43573.80,BUY
78,14698.77,29160.48,1,43859.25,HOLD
79,14615.85,14544.63,2,43776.33,BUY
80,14788.59,29333.22,1,44121.81,SELL
81,14797.22,44130.44,0,44130.44,SELL
82,14571.53,29558.91,1,44130.44,BUY
83,14966.52,29558.91,1,44525.43,HOLD
84,15283.67,44842.58,0,44842.58,SELL
85,15030.85,29811.73,1,44842.58,BUY
86,14530.07,44341.80,0,44341.80,SELL
87,14864.96,29476.84,1,44341.80,BUY
88,14181.69,43658.53,0,43658.53,SELL
89,14482.61,43658.53,0,43658.53,HOLD
90,14833.28,43658.53,0,43658.53,HOLD
91,15070.75,43658.53,0,43658.53,HOLD
92,15470.82,43658.53,0,43658.53,HOLD
93,15961.81,43658.53,0,43658.53,HOLD
94,15778.31,43658.53,0,43658.53,HOLD
95,15851.04,43658.53,0,43658.53,HOLD
96,15451.39,43658.53,0,43658.53,HOLD
97,15507.66,43658.53,0,43658.53,HOLD
98,15097.35,28561.18,1,43658.53,BUY
99,15015.02,28561.18,1,43576.20,HOLD
100,15679.85,44241.03,0,44241.03,SELL
101,15095.18,29145.85,1,44241.03,BUY
102,15117.29,44263.14,0,44263.14,SELL
103,14140.78,30122.36,1,44263.14,BUY
104,13322.66,30122.36,1,43445.02,HOLD
105,13851.75,43974.11,0,43974.11,SELL
106,14118.20,43974.11,0,43974.11,HOLD
